h3,872830959ffffff,87283095effffff,872830951ffffff,87283095bffffff,87283095cffffff,872830866ffffff,87283082cffffff,87283080cffffff,872830953ffffff,872830874ffffff,872830876ffffff,872830820ffffff,872830870ffffff,872830958ffffff,87283080dffffff,87283080effffff,872830943ffffff,87283082effffff,87283095affffff,87283082affffff,87283092affffff,87283082bffffff,872830821ffffff,87283082dffffff,872830875ffffff,872830950ffffff,872830825ffffff,872830828ffffff,872830942ffffff,872830829ffffff,872830952ffffff
872830959ffffff,0,927,1132,467,796,397,1649,1994,1312,793,1074,2028,1023,416,1932,2130,752,1685,689,1878,1776,1606,1725,1136,852,1439,1701,1506,990,1033,1638
87283095effffff,925,0,565,826,500,1131,904,1865,567,818,1098,1461,1047,552,1956,1672,691,1270,542,1420,1443,1598,1158,600,1033,1011,1134,1146,877,986,894
872830951ffffff,1168,570,0,1142,433,1404,854,1544,580,1134,1414,1140,1363,843,1980,1351,580,949,987,1099,1067,1435,837,805,1349,538,813,868,527,1389,723
87283095bffffff,379,835,1090,0,870,343,1597,1688,1260,488,768,2036,640,584,1626,1994,947,1549,589,1762,1814,1300,1724,1111,401,1495,1819,1370,1158,743,1587
87283095cffffff,757,559,473,888,0,979,1163,1883,826,988,1268,1479,1218,409,2127,1690,190,1288,842,1438,1228,1801,1176,860,1204,890,1152,1207,441,1244,1077
872830866ffffff,315,1202,1399,346,1071,0,1924,1948,1587,748,1028,2303,911,691,1886,2304,1027,1858,899,2072,2051,1560,2033,1411,672,1714,1976,1680,1265,1053,1914
87283082cffffff,1665,923,813,1566,1094,1871,0,1355,607,1574,1580,865,1769,1336,1759,1153,1053,707,1210,900,1063,1130,553,686,1782,794,656,497,922,1295,524
87283080cffffff,1811,1967,1708,1535,2002,1804,1390,0,1574,1292,851,1744,1177,1739,615,1287,1948,1068,1791,692,1947,665,1467,1846,1191,1652,1540,1192,1817,1301,1380
872830953ffffff,1309,568,556,1211,739,1516,612,1427,0,1202,1482,1023,1432,980,1863,1234,861,832,855,982,1103,1319,720,437,1417,596,696,751,730,1061,457
872830874ffffff,1019,1179,1434,648,1214,925,1633,1201,1525,0,280,2020,230,951,1139,1978,1406,1532,1003,1431,2210,812,1707,1199,243,1839,1803,1264,1592,661,1670
872830876ffffff,980,1135,1390,704,1171,972,1554,921,1495,461,0,1940,346,908,859,1920,1362,1453,960,1325,2130,683,1628,1168,359,1796,1723,1185,1548,630,1591
872830820ffffff,2158,1542,1223,2094,1558,2398,910,1589,1089,1971,1986,0,2168,1833,2025,1454,1463,995,1759,1202,1402,1538,576,1490,2182,1166,588,971,1332,1643,865
872830870ffffff,1033,1193,1448,662,1228,939,1827,1403,1662,518,483,2214,0,965,1341,2172,1420,1726,1017,1655,2172,1015,1901,1390,257,1853,1997,1458,1606,826,1864
872830958ffffff,452,552,823,596,426,688,1312,1857,975,656,936,1753,885,0,1794,1954,504,1508,512,1701,1501,1468,1450,903,871,1164,1426,1329,715,911,1302
87283080dffffff,1844,2000,2125,1568,2035,1837,1853,706,1992,1325,884,2162,1210,1772,0,1704,2226,1485,1824,1109,2364,687,1884,1879,1224,2069,1957,1388,2234,1334,1797
87283080effffff,2188,1737,1417,2061,1752,2366,1138,1268,1284,1938,1885,1477,2068,1992,1704,0,1657,921,1726,785,1667,1334,1165,1421,2081,1361,1260,938,1526,1610,1128
872830943ffffff,714,811,726,1019,331,964,1416,2038,1079,1241,1521,1634,1471,622,2380,1845,0,1443,1095,1593,1376,1929,1331,1113,1408,1045,1307,1362,596,1497,1217
87283082effffff,1575,959,639,1649,975,1811,519,1102,506,1580,1594,676,1776,1250,1538,1063,879,0,1246,768,879,1147,398,920,1790,583,471,580,749,1251,427
87283095affffff,768,665,1066,624,847,928,1366,1815,1030,615,895,1862,844,573,1753,1821,1038,1375,0,1569,1791,1427,1550,919,830,1472,1645,1197,1224,870,1356
87283082affffff,1846,1394,1075,1718,1410,2023,795,759,941,1627,1431,1135,1654,1650,1195,692,1315,566,1383,0,1325,921,822,1079,1668,1018,918,596,1184,1267,785
87283092affffff,1841,1441,1094,1942,1173,2077,1114,1786,1087,1934,2130,1359,2163,1516,2222,1598,1108,1152,1787,1346,0,1683,1084,1500,2149,1090,822,1115,1030,1787,929
87283082bffffff,1496,1486,1484,1220,1687,1488,1177,572,1351,976,679,1544,862,1423,676,1339,1724,956,1225,744,1734,0,1232,1231,875,1428,1327,746,1593,704,1194
872830821ffffff,1919,1266,947,1791,1282,2096,608,1354,813,1669,1683,560,1865,1557,1790,1152,1187,706,1456,899,1186,1236,0,1187,1879,891,725,669,1056,1340,656
87283082dffffff,1142,624,788,1044,795,1348,681,1593,459,1003,1243,1423,1232,946,1707,1365,986,982,676,1113,1597,1129,1111,0,1250,1043,1190,630,1170,711,904
872830875ffffff,775,1078,1333,404,1114,681,1752,1319,1503,438,399,2138,238,850,1257,2097,1305,1651,832,1549,2057,931,1826,1328,0,1738,1921,1383,1491,764,1789
872830950ffffff,1521,1055,625,1697,853,1757,851,1504,587,1688,1843,1100,1917,1196,1940,1312,868,909,1275,1059,1142,1396,797,948,1903,0,767,829,710,1500,425
872830825ffffff,1756,1140,820,1839,1156,1992,715,1387,687,1716,1730,577,1913,1431,1823,1199,1060,753,1504,946,859,1283,727,1101,1926,769,0,716,930,1388,510
872830828ffffff,1433,1136,872,1305,1207,1610,517,1191,738,1139,1048,932,1230,1237,1289,890,1112,514,970,705,1122,660,619,659,1244,816,715,0,981,742,582
872830942ffffff,970,862,657,1168,382,1220,1052,1742,845,1292,1572,1338,1522,691,2178,1550,228,1148,1146,1297,1123,1634,1035,1164,1508,750,1012,1067,0,1548,922
872830829ffffff,1002,945,1357,854,1248,1158,1049,1110,1029,684,662,1436,856,950,1224,1395,1439,949,684,1020,1626,646,1124,688,869,1320,1219,681,1485,0,1087
872830952ffffff,1610,917,674,1561,1037,1865,572,1248,464,1552,1587,853,1770,1285,1684,1056,914,654,1205,803,896,1140,541,878,1767,447,516,573,783,1245,0
